No.,Tanggal,Nama Kabupaten,Nama Kecamatan,Nama Desa,Detail Lokasi,Jenis Bencana,Penyebab/Kronologis,Korban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerusakan,,,,,,,,,,,,,,,,,Distribusi Air Bersih (Liter),Foto,Kode Identitas Bencana,,,,,,,,,,,,
,,,,,,,,Meninggal (jiwa),,,,,,,,,Total,Hilang (jiwa),,,,,,,,,Total,Luka/Sakit (jiwa),,,,,,,,,Total,Menderita (KK),Menderita (jiwa),,,,,,,,,Total,Mengungsi (KK),Mengungsi (jiwa),,,,,,,,,Total,Rumah RB (unit),Rumah RS (unit),Rumah RR (unit),Rumah Terendam (unit),Taksiran Kerugian (Rp),Sarana Pendidikan (unit),Sarana Ibadah (unit),Sarana Kesehatan (unit),Perkantoran (unit),Bangunan lain (unit),Jembatan (unit),Jalan (km),Sawah (ha),Kebun/Lahan/hutan (ha),Kolam (ha),Irigasi (ha),TMA (Tinggi Muka Air),,,,,,,,,,,,,,,
,,,,,,,,Anak,,,Dewasa,,,Lansia,,,,Anak,,,Dewasa,,,Lansia,,,,LB,,,LR,,,Lansia,,,,,Anak,,,Dewasa,,,Lansia,,,,,Anak,,,Dewasa,,,Lansia,,,,,,,,,,,,,,,,,,,,,,,Provinsi,Kabupaten,Kecamatan,Bencana,Waktu Kejadian,Index,,,,,,,
,,,,,,,,L,P,Tot,L,P,Tot,L,P,Tot,,L,P,Tot,L,P,Tot,L,P,Tot,,L,P,Tot,L,P,Tot,L,P,Tot,,,L,P,Tot,L,P,Tot,L,P,Tot,,,L,P,Tot,L,P,Tot,L,P,Tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulan Januari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,0,,,0,,,,0,,,0,,,0,,,,0,,,0,,,0,,,,,0,,,0,,,0,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cangkuang Wetan,,Banjir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,,,,,,,,,,1066,20,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,7,,,,,,,
,,,,Pasawahan,,Banjir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,,,,,,,,,,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,8,,,,,,,
,01/11/2024,,Baleendah,Baleendah,Kp. Cikarees rw 21,Banjir,Pom Bensin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429,,,,,,,,,,1462,20,,,2,,,,,,6,59,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,9,,,,,,,
,,,,Rancamanyar,Kp. Tambakan rw 1,Banjir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,,,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,10,,,,,,,
,,,,,Kp. Cilebak rw 2&3,,Lp. Bola Voli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,,,,,,,,,,1263,15,,,8,,,,,,12,43,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,11,,,,,,,
,,,,,Kp. Cembul rw 7&16,,Msjd. Al Mansyur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,270,67,,,12,,,,,,9,201,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,12,,,,,,,
,,,,,Kp. Nusa rw 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,13,,,,,,,
,,,,,Rancmnyr Regensi rw 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,14,,,,,,,
,,,,Bojongmalaka,Kp. Cilodeng rw 7,Banjir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,15,,,,,,,
,,,,Andir,Kp. Sindagsari rw 8&10,Banjir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,,,,,,,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,16,,,,,,,
,,,,,Kp. Muara rw 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,17,,,,,,,
,,,,,Kp. Jambatan rw 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,18,,,,,,,
,01/11/2024,,Bojongsoang,Bojongsari,,Banjir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,,,,,,,,,,1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,19,,,,,,,
,,,,Bojongsoang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1788,,,,,,,,,,5364,90,,,,,,,,,,570,,,,,,,,,,,,,,,,,,,,32,04,,101,20240111,20,,,,,,,
